record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,total,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,,,Sum of total,Column Labels,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04P00062354,,,,,,1,3,1999,20000603,20000603,3F21902  240251 R,3F21902  240356 H,3F21902  240251 S,,H,,,6.04,,,,,,,0,787800,,,787800,,,,,,,WILLAPA R    24.0251,FORKS CREEK HATCHERY,WILLAPA R    24.0251,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04P00069926,,,,,,1,1,2011,20130403,20130403,3F   TEMP0024617,3F42001  270430 H,3F42001  270168 S,Y,H,,FR,33.59,,,,,,,0,26546,,,26546,,,,,,,CLEAR CR      27.0519,SPEELYAI HATCHERY,LEWIS R      27.0168,WA,LOCR,LEWI,N,,,,,,,,,,,,
T,4.1,20160906,NMFS,NMFS,2,30284,12,,,,,1,,2011,20130516,20130516,1M1NE109 1099999,1F1NE109 1099999,1F1SE101 7510300,S,H,I,FR,16.52,,N,5000,14473,,,5000,250,,,14723,C,0.017,227,528,,"STOCK COMP., OVERWINTER FRESHWATER, 1.5-WEEK SPRING SALTWATER, PST CONTROL",L PORT WALTER 109-10,LITTLE PORT WALTER,UNUK R 101-75,AK,SEAK,SENE,N,,,,,,,,,,,,
T,4.1,20160906,NMFS,NMFS,2,31615,0,,,,,1,1,1976,19780515,19780515,1M1NE109 1099999,1F1NE109 1099999,1F1SE101 7510300,,H,I,,64.93,,N,5000,4408,,,5000,18,,,4426,C,0.0041,,,,,L PORT WALTER 109-10,LITTLE PORT WALTER,UNUK R 101-75,AK,SEAK,SENE,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN8866,,,,,,1,2,1988,198909,19890902,2FN  SKNAR0055,2FN  SKNAH0055,2FN  SKNAS0055,F,H,B,,6.1,,N,,,,,0,21686,,,21686,B,,,,,,R-Babine R,H-Babine River H,S-Babine R,BC,NASK,SKNA,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,25215,0,,,,,1,3,1987,198807,19880722,2FS  GSVIR0277,2FS  GSVIH0277,2FS  JNSTS0106,S,H,B,,7,,N,5000,10552,,,0,54346,,,64898,W,,1,,,CONTRIBUTION & DISTRIBUTION,R-Oyster R,H-Oyster River H,S-Quinsam R,BC,GST,GSVI,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,25216,0,,,,,1,3,1987,198807,19880722,2FS  GSVIR0277,2FS  GSVIH0277,2FS  JNSTS0106,S,H,B,,7,,N,5000,10268,,,0,52883,,,63151,W,,1,,,CONTRIBUTION & DISTRIBUTION,R-Oyster R,H-Oyster River H,S-Quinsam R,BC,GST,GSVI,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04P00030127,,,,,,1,1,2010,20120114,20120114,3F42001  270168 R01,3F42001  270168 H01,3F42001  270168 S,Y,H,,FR,56.69,,,,,,,5000,12664,0,446,13110,,,,,,,LEWIS R -NF  27.0168,ECHO NP (LEWIS R-NF),LEWIS R      27.0168,WA,LOCR,LEWI,N,,,,,,,,,,,,
T,4.1,20160906,NMFS,NMFS,2,30285,12,,,,,1,,2011,20130515,20130515,1M1NE109 1099999,1F1NE109 1099999,1F1SE101 7510300,S,H,I,FR,17.16,,N,5000,14909,,,5000,229,,,15138,C,0.0151,225,598,,"STOCK COMP., OVERWINTER FRESHWATER, 1.5-WEEK SPRING SALTWATER, PST CONTROL",L PORT WALTER 109-10,LITTLE PORT WALTER,UNUK R 101-75,AK,SEAK,SENE,N,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,44763,0,,,,,1,1,1985,19870607,19870607,1M1NE111 33,1F1NE111 33,1F1NE111 1710100,,H,B,,7.1,,,5000,8511,,,0,281,5000,2208,11000,,0.206,90,,,,SPEEL ARM 111-33,SNETTISHAM,KING SALMON R,AK,SEAK,SENE,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04P00038723,,,,,,1,3,2008,20090629,20090629,3F42001  270002 R,3F42001  270002 H,3F42001  270002 S,,H,,FR,5.64,79,,,,,,5000,245809,0,1858,247667,,,,,,,KALAMA R     27.0002,KALAMA FALLS HATCHERY,KALAMA R     27.0002,WA,LOCR,LEWI,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04P00045011,16,,,,,1,1,1999,20000811,20000815,3F10806  180018 R,3F10806  180018 H,3F10806  180018 S,,H,,,4.16,70,,,,,,0,220802,,,220802,,,,,,BO=W(WILD),DUNGENESS R  18.0018,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,25555,9,,,,,1,2,1988,198904,19890425,2FS  UPFRR2745,2FS  UPFRH0155,2FS  UPFRS0155,S,H,B,,4.3,74,N,5000,76592,,,5000,954,,,77546,,0.0123,1,,,TIME OF RELEASE. INTERNAL REPLICATE CODE,R-Quesnel Townsite,H-Quesnel River H,S-Quesnel R,BC,FRTH,UPFR,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,23731,0,,,,,1,1,1985,198605,19860529,2FN  YUKNR0591,2FN  YUKNH0959,2FN  YUKNS0959,F,H,P,,1.9,,N,5000,76732,,,0,975,5000,463,78170,,0.006,1,,,,R-Michie Cr,H-Yukon River H,S-Yukon R,BC,UPYR,UPYRG,N,,,,,,,,,,,,
T,4.1,20160906,NMFS,NMFS,2,30286,12,,,,,1,,2012,20140515,20140515,1M1NE109 1099999,1F1NE109 1099999,1F1SE101 7510300,S,H,I,FR,28.12,132,N,5000,14893,,,5000,108,,,15001,C,0.0072,209,416,,"STOCK COMP., OVERWINTER FRESHWATER, 1-WEEK SPRING SALTWATER, PST CONTROL",L PORT WALTER 109-10,LITTLE PORT WALTER,UNUK R 101-75,AK,SEAK,SENE,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04P00068516,,,,,,1,3,2013,20140512,20140512,3F10513  120007 R,3F10513  120007 H01,3F10513  130028 S,,H,,VO,6.87,,,,,,,5000,75476,0,364,75840,,,,,,,CHAMBERS CR  12.0007,GARRISON HATCHERY,DESCHUTES R  13.0028,WA,SPS,CHAM,N,,,,,,,,,,,,
T,4.1,20160906,NMFS,NMFS,2,30287,12,,,,,1,,2012,20140515,20140515,1M1NE109 1099999,1F1NE109 1099999,1F1SE101 7510300,S,H,I,FR,28.35,131,N,5000,15046,,,5000,0,,,15046,C,0,206,352,,"STOCK COMP., OVERWINTER FRESHWATER, 1-WEEK SPRING SALTWATER, PST CONTROL",L PORT WALTER 109-10,LITTLE PORT WALTER,UNUK R 101-75,AK,SEAK,SENE,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,94138,13,,,D,052006C001,1,1,2004,20060206,20060213,5F333    0201500000,5F33317  H17    21,5F333    23,S,H,B,VO,36.17,,N,5500,46983,500,1345,5500,312713,500,1847,362888,B,0.0771,194,545,,DI ASSOCIATED 094221 ALL AD MARKED,MCKENZIE R 1,MCKENZIE HATCHERY,MCKENZIE HATCHERY,OR,LOCR,WILL,N,,,,,,,,,,,,
T,4.1,20160906,NMFS,NMFS,2,30288,12,,,,,1,,2012,20140515,20140515,1M1NE109 1099999,1F1NE109 1099999,1F1SE101 7510300,S,H,I,FR,28.34,133,N,5000,14704,,,5000,165,,,14869,C,0.0111,205,361,,"STOCK COMP., OVERWINTER FRESHWATER, 1-WEEK SPRING SALTWATER, PST CONTROL",L PORT WALTER 109-10,LITTLE PORT WALTER,UNUK R 101-75,AK,SEAK,SENE,N,,,,,,,,,,,,
T,4.1,20160906,NMFS,NMFS,2,30289,12,,,,,1,,2013,20150515,20150515,1M1NE109 1099999,1F1NE109 1099999,1F1SE101 7510300,S,H,I,FR,17.7,117,N,5000,15629,,,5000,319,,,15948,C,0.02,225,1190,,"STOCK COMP., OVERWINTER FRESHWATER, 1-WEEK SPRING SALTWATER, PST CONTROL",L PORT WALTER 109-10,LITTLE PORT WALTER,UNUK R 101-75,AK,SEAK,SENE,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,24023,0,,,,,1,2,1985,198610,19861003,2FS  TOMFR0156,2FS  TOMFH0156,2FS  TOMFS0156,F,H,B,,8.3,,N,5000,25671,,,,,,,25671,,,3,,,"TIME OF REL:FALL SEE 023762-63,023801-02(SM),024024-25(FALL),022722,27,023150",R-Eagle R,H-Eagle River H,S-Eagle R,BC,FRTH,TOMF,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,186210,12,,,,,1,2,2006,20070613,20070613,2FN  CCSTR1940,2FN  CCSTH0140,2FN  CCSTS1940,S,H,P,,4.53,,N,5000,26200,,,0,311179,5000,810,338189,B,0.03,28,200,,SEE ALSO 186208 & 186209.,R-Atnarko R Up,H-Snootli Creek H,S-Atnarko R Up,BC,COBC,CCST,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN0369,,,,,,1,3,2003,20040528,20040528,2FS  SWVIR0114,2FS  SWVIH0114,2FS  SWVIS0114,S,H,P,,6.66,,N,,,,,0,198812,,,198812,B,,,,,HATCHERY SMALL,R-Nitinat R,H-Nitinat River H,S-Nitinat R,BC,WCVI,SWVI,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,24025,0,,,,,1,2,1985,198610,19861003,2FS  TOMFR0156,2FS  TOMFH0156,2FS  TOMFS0156,F,H,B,,8.3,,N,5000,26847,,,,,,,26847,,,3,,,"TIME OF REL:FALL. SEE 024023-24(FALL),023762-63,023801-02(SM),022722,27,023150",R-Eagle R,H-Eagle River H,S-Eagle R,BC,FRTH,TOMF,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,25349,0,,,,,1,2,1987,19880603,19880603,2MS  GSMNR2732,2MS  GSMNH2732,2FS  GSMNS0216,S,H,B,,10.4,98,N,5000,24631,,,0,84013,5000,1628,110272,B,0.062,21,,,"SEAPEN REARED 3 WEEKS; ALSO SEE 025348 (SW), 025509-10 (FW) & 025346 (FW)",R-Porteau Cv,H-Porteau Cove Seapen,S-Cheakamus R,BC,GST,GSMN,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,92734,13,,,,,1,1,2005,20060814,20060821,5F333    0270200000,5F33316  H16    21,5F333    21,S,H,O,VO,11.57,,N,5500,15166,500,497,5500,8440,500,271,24374,B,0.0074,22,540,,100% OTOLITH RETURN EXPECTED TO BE LOW MUST PASS THROUGH 2 DAMS TO MIGRATE OUT.,DETROIT RES (SANTIAM,MARION FORKS HATCH,SANTIAM R N FK,OR,LOCR,WILL,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04P00023836,,,,,,1,3,2002,20030505,20030505,3F10513  120007 R,3F10513  120007 H02,3F10513  120007 S,,H,,,10.3,,,,,,,5000,39782,0,1901,41683,,,,,,,CHAMBERS CR  12.0007,CHAMBERS CR HATCHERY,CHAMBERS CR  12.0007,WA,SPS,CHAM,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WREG,4,!04P00028650,,,,,,1,3,1998,19990501,19990501,3F10412  160253 R,3F10412         H06,3F10412  160005 S,,H,,,5.03,,,,,,,500,60000,,,60000,,,,,,,JOHN CR      16.0253,RFEG 6 HOOD CANAL,GEORGE ADAMS (PURDY),WA,HOOD,SKDO,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04P00061302,,,,,,1,3,1995,19960516,19960516,3F10513  120007 R,3F10513  120007 H01,3F10513  120007 S,,H,,,6.47,,,,,,,0,278000,,,278000,,,,,,PLANTED FROM SOUTH TACOMA HATCHERY.,CHAMBERS CR  12.0007,GARRISON HATCHERY,CHAMBERS CR  12.0007,WA,SPS,CHAM,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04P00064688,,,,,,1,1,1998,20000301,20000331,3F42001  270017 R,3F42001  270017 H,3F42001  270002 S,Y,H,,,75.59,174,,,,,,5000,5019,,,5019,,,,,,,FALLERT CR   27.0017,FALLERT CR HATCHERY,KALAMA R     27.0002,WA,LOCR,LEWI,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03RV8709,,,,,,1,2,1987,198806,19880609,2FN  CCSTR1389,2FN  CCSTH0140,2FN  CCSTS1389,S,H,P,,3.6,,N,,,,,2,5110,,,5110,,,,,,,R-Noosgulch R,H-Snootli Creek H,S-Noosgulch R,BC,COBC,CCST,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,94339,13,,,,,1,1,2005,20061016,20061018,5F222    1500500000,5F22208  H8     21,5F222    52,S,H,P,FR,43.74,,N,5000,31511,0,126,5000,301312,,,332949,B,0.0118,33,508,,,ROGUE R 4,COLE RIVERS HATCHERY,COLE RIVERS HATCHERY,OR,SOOR,ROGU,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,94337,13,,,D,052006M002,1,1,2005,20060913,20060914,5F222    1500500000,5F22208  H8     21,5F222    52,S,H,P,FR,47.4,,N,5000,53882,,,5000,311498,0,200,365580,B,0.0092,31,544,,DI ASSOCIATED 094336,ROGUE R 4,COLE RIVERS HATCHERY,COLE RIVERS HATCHERY,OR,SOOR,ROGU,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,185740,12,,,,,1,3,2007,20080514,20080514,2FS  JNSTR0106,2FS  JNSTH0106,2FS  JNSTS0106,S,H,P,,5.8,82,N,5000,28686,,,0,77536,5000,322,106544,B,0.0111,14,1442,,,R-Quinsam R,H-Quinsam River H,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,180867,12,,,,,1,2,2008,20090605,20090612,2FN  SKNAR6501,2FN  SKNAH0568,2FN  SKNAS6501,F,H,B,,3.3,,N,5000,25722,,,5000,1029,0,190,26941,B,0.0385,15,600,,"0+ FRY REL. ALSO SEE 180866,68,69,186246 & COMPARE TO 180874 & 186245 (1+REL)",R-Kitsum Bel Canyon,H-Deep Creek/ SKNA H,S-Kitsum Bel Canyon,BC,NASK,SKNA,N,,,,,,,,,,,,
N,4.1,20080811,IDFG,IDFG,10,!10CLWH02-07,,,,,,1,1,2000,20020410,20020412,4F-1706030503311.30,4F-1706030800100.09,4F1-17060210002-HUU,S,H,B,FR,29.87,145,N,,,,,5000,181618,,,181618,B,,,,,,CROOKED R PONDS,CLEARWATER HATCHERY,RAPID RIVER,ID,SNAK,CLEA,C,,,,,,,,,,,,
N,4.1,20080811,IDFG,IDFG,10,!10CLWH02-02,,,,,,1,1,2000,20020410,20020410,4F-1706030302600.00,4F-1706030800100.09,4F1-17060303000-XUU,S,H,B,VO,29.79,,N,,,,,5000,349890,,,349890,B,,,,,,POWELL REARING PONDS,CLEARWATER HATCHERY,POWELL,ID,SNAK,CLEA,C,,,,,,,,,,,,
N,4.1,20041208,NIFC,TULA,14,!14199800006,,,,,,1,3,1997,19980430,19980430,3F10308  070001 R,3F10308  070001 H,3F10308  070940 S,G,H,P,VO,5.68,,N,,,,,500,1700000,,,1700000,B,,,,,"GREEN R. ORIGIN, 100% OTOLITH MARKED",TULALIP CR   07.0001,BERNIE GOBIN HATCH,WALLACE R    07.0940,WA,NPS,SNOH,C,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,94336,13,,,D,052006M002,1,1,2005,20060911,20060912,5F222    1500500000,5F22208  H8     21,5F222    52,S,H,P,FR,48.93,,N,0,54365,,,5000,281532,0,30254,366151,B,,34,513,,DI ASSOCIATED 094337,ROGUE R 4,COLE RIVERS HATCHERY,COLE RIVERS HATCHERY,OR,SOOR,ROGU,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03LV8511,,,,,,1,2,1985,198607,19860710,2FN  CCSTR0072,2FN  CCSTH0140,2FN  CCSTS0072,S,H,P,,4.5,,N,,,,,1,8651,,,8651,,,,,,MARKED FOR ESCAPEMENT IDENTIFICATION,R-Salloomt R,H-Snootli Creek H,S-Salloomt R,BC,COBC,CCST,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN8676,,,,,,1,3,1986,198706,19870626,2FS  GSVIR0277,2FS  GSVIH0277,2FS  GSVIS0102,S,H,B,,5.27,,N,,,,,0,177000,,,177000,,,,,,,R-Oyster R,H-Oyster River H,S-L Qualicum R,BC,GST,GSVI,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN8701,,,,,,1,3,1987,198806,19880608,2FS  GSMNR0103,2FS  GSMNH0103,2FS  GSMNS2646,S,H,P,,6.3,,N,,,,,0,121939,,,121939,B,,,,,"40574 VACCINATED AGAINST VIBRIOSIS APRIL 20, 1988",R-Capilano R,H-Capilano River H,S-B Qual+L Qual+Cap,BC,GST,GSMN,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN8702,,,,,,1,3,1987,198804,19880428,2FS  NWVIR0086,2FS  NWVIH0117,2FS  NWVIS0086,F,H,P,,3.7,,N,,,,,0,23252,,,23252,B,,,,,,R-Tlupana R,H-Conuma River H,S-Tlupana R,BC,WCVI,NWVI,N,,,,,,,,,,,,
N,4.1,20030625,FWS,FWS,7,!07199800217,,,,,,1,3,1997,19980507,19980507,3F42001  250297 R,3F42001  250297 H,3F42001  250297 S,G,H,P,,5.12,78,N,,,,,0,481466,,,481466,W,,,,,Ab 63 Abernathy Creek      Abernathy SCTC,ABERNATHY CR 25.0297,ABERNATHY SCDC HATCH,ABERNATHY CR 25.0297,WA,LOCR,GREL,C,,,,,,,,,,,,
N,4.1,20030625,FWS,FWS,7,!07199800218,,,,,,1,1,1997,19980323,19980323,3F42001  290160 R,3F42001  290160 H,3F42001  290023 S,G,H,P,FR,3.62,76,N,,,,,0,1127485,,,1127485,W,,,,,BW 58 B White Salmon River B White Salmon Ponds,WHITE SALMON 29.0160,WHITE SALMON R POND,WIND R       29.0023,WA,CECR,WIND,C,,,,,,,,,,,,
N,4.1,20031231,FWS,FWS,7,!07199900047,,,,,,1,3,1998,19990517,19990517,3F42001  250297 R,3F42001  250297 H,3F42001  250297 S,G,H,P,,6.49,89,N,,,,,0,261285,,,261285,W,,,,,Ab 65 Abernathy Creek      Abernathy FTC,ABERNATHY CR 25.0297,ABERNATHY SCDC HATCH,ABERNATHY CR 25.0297,WA,LOCR,GREL,C,,,,,,,,,,,,
N,4.1,20031210,FWS,FWS,7,!07199900048,,,,,,1,1,1998,19990302,19990312,3F42001  290160 R,3F42001  290160 H,3F42001  290023 S,G,H,P,FR,1.35,53,N,,,,,0,214900,,,214900,W,,,,,BW 60 B White Salmon River B White Salmon Ponds,WHITE SALMON 29.0160,WHITE SALMON R POND,WIND R       29.0023,WA,CECR,WIND,C,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,94147,13,,,,,1,1,2004,20051010,20051011,5F222    1500500000,5F22208  H8     21,5F222    52,S,H,P,FR,72.81,,N,5000,30929,0,108,5000,131448,,,162485,B,0.0052,41,577,,,ROGUE R 4,COLE RIVERS HATCHERY,COLE RIVERS HATCHERY,OR,SOOR,ROGU,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,94136,13,,,,,1,1,2004,20060213,20060213,5F333    0201200000,5F33328  H28    21,5F333    24,S,H,K,FR,49.52,,N,5500,31338,,,5500,261136,,,292474,B,,22,279,,100% OTOLITH MARKED,SANTIAM R S FK,SOUTH SANTIAM HATCH,SANTIAM R S FK,OR,LOCR,WILL,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN9322,,,,,,1,3,1993,199405,19940513,2FS  JNSTR0095,2FS  JNSTH0106,2FS  JNSTS0106,S,H,B,,8.4,92,N,,,,,0,47250,,,47250,B,,,,,PEN REARED 2 WKS IN C. RIVER CHANNEL,R-Campbell R,H-Quinsam River H,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN9324,,,,,,1,2,1993,199405,19940506,2FS  UPFRR1619,2FS  TOMMH0160,2FS  UPFRS1619,F,H,B,,1.1,46,N,,,,,0,34867,,,34867,W,,,,,,R-Bridge R,H-Spius Creek H,S-Bridge R,BC,FRTH,UPFR,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN9325,,,,,,1,3,1993,199406,19940614,2FS  GSVIR0105,2FS  GSVIH0105,2FS  GSVIS0105,S,H,B,,4.6,75,N,,,,,0,29530,,,29530,B,,,,,FED ALTERNATE DIETS TO OMP,R-Puntledge R,H-Puntledge River H,S-Puntledge R,BC,GST,GSVI,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN0460,,,,,,1,1,2004,200506,200506,2FN  YUKNR1732,2FN  YUKNH2193,2FN  TRANS1732,F,H,B,FR,1,,N,,,,,0,435,,,435,B,,,,,,R-Takhini R,H-Whitehorse Schools,S-Takhini R,BC,,,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN0444,,,,,,1,3,2004,200507,200507,2MS  GSVIR3208,2MS  SWVIH3208,2FS  SWVIS0114,S,H,B,,8,,N,,,,,0,240000,,,240000,B,,,,,"SIZE, DATE & # EST FROM INFO AT TRANSFER TO SEAPENS.",R-Esquimalt Hb,H-Esquimalt Harbour Seape,S-Nitinat R,BC,,,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,94156,13,,,,,1,1,2004,20060315,20060315,5F333    0300200000,5F33315  H15    21,5F333    19,S,H,K,VO,44.21,,N,5500,49638,,,500,30038,,,79676,B,,,,,100% OTOLITH MARKED NO RETENTION DATA ACC CLACKAMETTE COVE,CLACKAMAS R,LEABURG HATCHERY,CLACKAMAS R EARLY,OR,LOCR,WILL,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,94257,13,,,,,1,1,2004,20060524,20060524,5F332    0100200200,5F33315  H15    21,5F333    22,S,H,P,VO,27.95,,N,5000,23940,0,717,5000,1194,,,25851,W,0.0462,196,541,,BLIND SLOUGH NET PEN SELECT AREA FISHERY,BLIND SL (LWR COL R),LEABURG HATCHERY,MID WILLAMETTE R,OR,LOCR,YOCL,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,185225,0,,,,,1,2,2006,20070510,20070511,2FS  TOMFR0161,2FS  TOMFH1958,2FS  TOMFS0161,S,H,P,,5.4,78,N,5000,24803,,,0,43903,5000,767,69473,B,0.03,29,100,,,R-Shuswap R Low,"H-Shuswap River, Middle,",S-Shuswap R Low,BC,FRTH,TOMF,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03RM8909,,,,,,1,3,1989,199005,19900528,2FS  GSMNR0112,2FS  GSMNH0112,2FS  GSVIS0100,F,H,B,,1.68,,N,,,,,120,40169,0,40135,80304,B,,,,,MARKED FOR ESCAPEMENT I.D.,R-Seymour R/GSMN,H-Seymour River H,S-Big Qualicum R,BC,GST,GSMN,N,,,,,,,,,,,,
N,4.1,20060425,FWS,FWS,7,!07198400092,,,,,,1,7,1983,19841120,19841120,6FCSASAF BLRB,6FCSABAT CNFH,,S,H,P,,13.44,,N,,,,,9,154575,,,154575,,,,,,,SAC R BEL RBDD,COLEMAN NFH,NA,CA,SAFA,SACR,C,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,94416,12,,,,,1,8,2005,20060517,20060523,5F334    0700200000,5F33449  H49    21,5F332    45,S,H,P,VO,6.98,,N,5000,150913,0,298,0,299,,,151510,B,0.002,33,254,,ACC THORNHOLLOW RM 73.5,UMATILLA R,UMATILLA HATCHERY,WASHINGTON BRIGHTS,OR,CECR,UMAT,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03RV8733,,,,,,1,3,1987,198805,19880531,2FS  NWVIR1905,2FS  NWVIH0030,2FS  NWVIS1905,S,H,P,,4.5,,N,,,,,2,100000,0,45294,145294,B,,,,,MARKED FOR ESCAPEMENT I.D.,R-Burman R,H-Gold River H,S-Burman R,BC,WCVI,NWVI,N,,,,,,,,,,,,
N,4.1,20160829,ODFW,ODFW,5,!05NT6498BW,16,,,O,052003C007,1,8,2001,20030301,20030307,5F334    0700200000,5F33201  H1     21,5F334    91,S,H,P,VO,14.53,,N,,,,,0,233526,,,233526,B,,,,,ACC THORNHOLLOW RM 73.5 BLANK WIRE ASSOCIATED 093627,UMATILLA R,BONNEVILLE HATCHERY,UMATILLA R,OR,CECR,UMAT,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,94154,12,,,,,1,3,2004,20050423,20050506,5F332    0300100000,5F33230  H30    22,5F332    195,S,H,E,FR,,,N,5000,10897,,,,,,,10897,B,,1,58,,NATURAL REPRODUCTION FISH CAPTURED IN IVES AND PIERCE ISLAND AREA,COLUMBIA R-2,NATURAL PRODUCTION TAGGIN,BONNEVILLE LADDER,OR,LOCR,YOCL,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,70753,12,,,,,1,1,2003,20050307,20050327,5F335    0800520000,5F33539  H39    21,5F334    201,S,H,E,VO,18.1,,N,5201,51382,201,609,5201,6210,201,3517,61718,B,0.1104,236,480,,ACC CATHERINE CR FACILITY PIT TAGGED 7001 VIE RETENTION 99%,CATHERINE CR (GRANDE,LOOKINGGLASS HATCH,CATHERINE CR (GRANDE,OR,SNAK,GRIA,N,,,,,,,,,,,,
T,4.1,20160829,ODFW,ODFW,5,94221,13,,,D,052006C001,1,1,2004,20060206,20060213,5F333    0201500000,5F33317  H17    21,5F333    23,S,H,B,VO,37.67,,N,500,48655,,,500,2765,,,51420,B,0.0538,189,1023,,DI ASSOCIATED 094138 ALL AD CLIPPED 100%OTOLITH MARKED 8 REPETITIONS,MCKENZIE R 1,MCKENZIE HATCHERY,MCKENZIE HATCHERY,OR,LOCR,WILL,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,186005,12,,,,,1,2,2006,20070514,20070517,2FN  SKNAR6449,2FN  SKNAH0568,2FN  SKNAS6449,F,H,B,,2.6,,N,5000,2995,,,0,52,,,3047,C,,,200,,SEE ALSO 185927,R-Kitsum Abv Canyon,H-Deep Creek/ SKNA H,S-Kitsum Abv Canyon,BC,NASK,SKNA,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN0330,,,,,,1,3,2003,20040528,20040528,2FS  NWVIR0117,2FS  NWVIH0117,2FS  NWVIS0117,S,H,P,,6.02,84,N,,,,,0,335986,,,335986,B,,,,,,R-Conuma R,H-Conuma River H,S-Conuma R,BC,WCVI,NWVI,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN0365,,,,,,1,2,2003,20040508,20040508,2FS  LWFRR0154,2FS  LWFRH0154,2FS  LWFRS0154,S,H,P,,7.3,,N,,,,,0,256002,,,256002,B,,,,,,R-Chehalis R,H-Chehalis River H,S-Chehalis R,BC,FRTH,LWFR,N,,,,,,,,,,,,
